x,y,radius,angle,sin_theta1,sin_theta2,sin_theta3,cos_theta1,cos_theta2,cos_theta3,theta_sum,U
1.3485422625018413,2.531724342494836,2.8684829405339847,1.0813652226130752,0.9404774378874267,-0.4095337243077482,0.34819779989727695,0.33985612959707145,0.9122949789704125,0.9374210858235993,1.1577374147273185,3.8873576531810863
2.7408554991069383,-0.09897582446725688,2.7426419891800893,6.247089702793619,0.0967611057098208,-0.6135807954897547,0.760912182034829,0.9953076350665722,0.7896319442665423,0.6488548768646154,0.3010431187231779,-0.41128293385961967
-2.3202310243129065,0.8389179685832591,2.467236381905062,2.794650931604874,0.9362370185737334,0.9999432283202557,-0.6679504406584119,-0.3513691008785017,0.010655521407463538,0.7442057570485688,2.758518628599542,2.015419682571051
2.2272589297997363,1.4544125219288495,2.6600748343450986,0.5784852094045485,0.9075142477328573,-0.3065094190885593,-0.7994817801068841,0.42002129727177673,0.9518676252557359,0.6006903389244145,-0.10062824570488771,3.3211957893990154
-1.6547511318752037,1.5587399859543447,2.273295328868473,2.3860631249753954,0.6757039757090331,0.6955025602109731,-0.9964366181137894,-0.7371730714092902,0.7185236173849692,0.08434492327315404,1.68244142481185,2.1453522773978277
-0.004464321855921662,2.322743416889185,2.3227477071071836,1.5727183283066681,0.4653292752891535,-0.9477628101200785,-0.3587970048924456,-0.8851376534522024,0.31897594854987443,0.933415614439897,1.0444597805224087,3.0766439206319367
2.385998607028355,1.164031680111593,2.6547992588978677,0.45388798545829667,0.5853718730985337,-0.6806070853920648,0.6971583107276719,0.8107649290547255,0.7326486165373675,0.7169172126426726,0.6481737730805922,1.5808847731222582
0.46746449452129263,2.4875839218346605,2.531125603720281,1.385043555599706,0.9102881922136489,-0.00984138465513967,0.8079544778866221,0.41397512862055746,0.9999515724014186,0.5892449080500873,2.074810521905116,4.072801005948802
0.8795902128244255,1.7256025657890388,1.9368487699235148,1.0993955952407584,0.08843190093441695,0.7686898954457217,0.9773352598084545,0.996082224967962,0.6396216417849269,0.21169740181480926,2.322822869023082,1.8195946996835004
2.8161037484815723,0.29148847067380146,2.8311492102585682,0.10314042021878152,0.5178170245308503,-0.5553573016809907,-0.36103275552640907,0.8554913962781956,0.8316118490435361,0.9325531349135062,-0.4138704068447878,1.0267436488878925
2.8161037484815723,0.29148847067380146,2.8311492102585682,0.10314042021878152,-0.5141778519712678,0.7987233987549605,-0.02786843190706043,0.8576835876605154,0.6016983731749027,0.9996115998241725,0.3572497110794923,-0.5470872114502766
-2.25251425426459,1.6802915752321823,2.8101957660386243,2.5006804393453845,0.05280261344597588,-0.6808826292452546,-0.18251132181937285,-0.9986049689508233,0.7323925485639987,0.9832037517258289,2.156258308715082,1.6266425052170062
-2.25251425426459,1.6802915752321823,2.8101957660386243,2.5006804393453845,0.21804523023314787,-0.8456015933534687,0.6049126666113555,-0.9759386648619746,0.5338145233300372,0.7962918219931303,2.5637466503917232,2.2307000410680424
-2.4062112880116096,-1.1523145144714082,2.667898330674534,3.5882114416431485,-0.5795145058741886,0.14157749288529126,-0.8846637720814556,-0.8149619239457725,0.9899271758610909,0.4662295683100872,-3.467177390140955,-2.322440972297967
1.9805737445319724,-1.6714297592594953,2.5915921356702047,5.582236332148517,-0.9247282293977183,0.9903624302433706,-0.9567953995719114,0.3806280359550003,0.13850002441315692,0.29076203905947967,-1.0242444583458556,-2.3656542093171966
1.9805737445319724,-1.6714297592594953,2.5915921356702047,5.582236332148517,-0.8049597521022314,0.7420402758380066,-0.905340486263116,0.5933294173522111,0.6703553005938382,0.4246864772192125,-1.2316795770982578,-2.632925873527598
