x_target,y_target,end_effector_x,end_effector_y,error_m
2.8,0.0,2.9194472720628486,-0.0026978096162654603,0.11947773424358962
0.5,0.5,-0.13122038870130615,0.9353881317009337,0.76681288743621
3.0,0.0,2.9891521835314716,0.031237947431460602,0.03306787688778298
1.5,0.2,1.7709398822724909,0.28402672980241195,0.28367042695198025
1.0,0.6,1.265730042919765,0.8596126907478662,0.37149859341252883
1.5,1.789,1.7110168997928306,1.992038263811053,0.29283556575249575
2.8,0.0,2.9194472720628486,-0.0026978096162654603,0.11947773424358962
1.1,1.2,1.3353647850632844,1.4633493063559737,0.3531988663714233
1.3,1.8523,1.494661434619013,2.086940890193914,0.3048760756092951
-2.0,-2.0,-1.9971945030058262,-2.0691431054044793,0.06919999883207555
-1.0,2.0,-1.1041080968518489,2.1203079529705944,0.1590990238124945
