x_target,y_target,theta1,theta2,theta3
2.8,0.0,-0.2830877981227386,0.5694880752617378,-0.2922772164997528
0.5,0.5,-1.3022621411232584,-2.959787279350475,-0.4890816854755028
3.0,0.0,-0.06826657579687527,0.19588048370682232,-0.15543380262479914
1.5,0.2,-0.8514268078488365,2.309042551253171,-1.4149566791068968
1.0,0.6,-1.0213055510369393,2.5494581928067332,-0.7339394825062134
1.5,1.789,0.3221801145207496,1.2232991825292239,-0.8035336015362049
2.8,0.0,-0.2830877981227386,0.5694880752617378,-0.2922772164997528
1.1,1.2,-0.28712792546002064,2.111844707879413,-0.9322640846289322
1.3,1.8523,0.383870767199507,1.3133691698149075,-0.8928438796096391
-2.0,-2.0,-1.9935305637278824,-0.32807955973653175,-0.3798729788095303
-1.0,2.0,1.0843366045238807,1.4105610237726356,-0.03971251744691321
