x_target,y_target,theta1,theta2,theta3
1.0,0.6,-0.9540735355696053,2.870348046612805,-1.3788967227774775
1.0,0.6,-0.9337322661691014,2.9154060653062417,-1.4583083623945592
1.0,0.6,-1.193976994932583,1.7837661470593293,1.1920256502538746
1.0,0.6,-1.2370584440585402,1.817389371060193,1.157402642640414
1.5,1.789,-0.053932496643876705,1.0513002463043588,0.606849070878755
2.8,0.0,-0.4948137827429862,0.589649468011174,0.28688259488007695
1.1,1.2,-0.6403348966654872,1.61601631946211,0.8492953773217475
1.3,1.8523,-0.06143547967669451,1.73011084744729,-0.5118717385115542
1.5,1.2,0.9343911100639092,0.521299089461484,-2.108238129001479
-2.0,-2.0,-2.506072515266232,0.25744312575324113,-0.8451370551314712
