x_target,y_target,theta1,theta2,theta3
1.5,1.2,0.8610719749191899,-1.4560201057935258,2.146409333872876
-1.2,-1.1,-2.23788676626679,-0.05962174953574721,3.0078337442639134
-1.1,1.0,-2.112141227385483,-2.071498048631388,-0.45102135470596866
1.2,-1.1,-1.3025186398711888,0.08272477466264865,2.161048831377088
-2.0,-2.0,-2.0860212500110507,-0.01732424013263207,0.01025184025935229
-1.0,2.0,3.1022953252619008,-1.7317451892431497,0.40079904532431543
3.0,0.0,0.018019244388547205,-0.12945133943059267,0.21669820111703356
0.0,3.0,1.7268926264374211,-0.30630580217175923,0.14465021212546475
1.7,0.3,0.06480652700541512,-0.9343495421320862,2.3825358901385254
1.2,0.5,0.5093145756303799,-1.892517350711482,2.815573102934559
