x_target,y_target,end_effector_x,end_effector_y,error_m
1.5,1.2,1.4991361951454887,1.1978888078446885,0.0022810723669637874
-1.2,-1.1,-0.524968986690795,-0.8809076766611622,0.7096959314208177
-1.1,1.0,-1.0973933464712728,1.0034026904554412,0.004286367337778767
1.2,-1.1,1.1976845495064423,-1.094959732455839,0.0055466753920559355
-2.0,-2.0,-1.4993342040008262,-2.598372895676013,0.7802027695177599
-1.0,2.0,-0.9995284859023678,1.9992614451724613,0.000876235571947793
3.0,0.0,2.988100161321655,0.011888447532280091,0.016820860420870706
0.0,3.0,-0.0002586219871455386,2.9765659859836178,0.023435441072278414
1.7,0.3,1.7008478265136246,0.2990568375359509,0.0012682134011262165
1.2,0.5,1.197558460603362,0.4955574719597049,0.005069237616658286
