tau1,tau2,tau3,q1,q2,q3,dq1,dq2,dq3,ddq1,ddq2,ddq3,G1,G2,G3,Cqdot1,Cqdot2,Cqdot3,M1,M2,M3,M4,M5,M6,M7,M8,M9
2.739233746,-4.604265725,-9.180529521,-3.745631644948268,2.109838658491208,-9.047543180388486,-5.392008490344404,-5.192349551898059,-0.9402361601693641,53.22007968302404,-73.39591587899898,-4.5351512916942065,-22.647775762846717,-2.462516131459677,-1.5067635562831405,-71.38124947978986,32.40551884888207,-29.482664841061336,2.373710884100043,0.39701206187912264,0.2818269754445309,0.39701206187912264,0.7703132396582023,-0.11484338017089885,0.2818269754445309,-0.11484338017089885,0.35
-9.669447289,6.265404784,8.255111546,-3.9010303571228846,-0.9883052165315802,9.343751580820594,-9.171037882509113,16.183289218618615,-1.1743442171233194,-57.99324109494373,195.0583171690655,-63.63522617721849,-16.447266928959852,1.3388338714501027,-1.2513691265404738,-21.218225449786942,-67.87020462395104,38.86617989928084,4.222888260665435,1.2880845511155703,-0.3887148020363612,1.2880845511155703,0.7032808415657056,-0.1483595792171472,-0.3887148020363612,-0.1483595792171472,0.35
2.132715515,4.58993122,0.872499829,-1.8532817042469816,-0.1189326399510854,-1.6100179516356874,-0.41748172069717676,-4.925337610423751,-1.3136348243084515,-7.571504286926363,7.006609738788061,55.08438998644405,-17.022155100415844,-10.185973752914123,-4.436469638605052,34.71642099811911,7.758192500130376,-14.347940272484546,6.83210019324948,3.07144431182027,0.2516463271376055,3.07144431182027,1.66078843039106,0.3303942151955301,0.2516463271376055,0.3303942151955301,0.35
8.701448476,6.317071082,-9.945229997,-5.24391459188101,2.0746986605723996,-11.532416083648362,-3.7411124111030185,7.18986599774614,-26.787007997061846,45.57615676733288,185.1259391563732,-360.88609851214215,-4.902911193928898,-17.3333844092695,-2.6239981593533956,-234.8939403395536,-210.3016027802344,5.340849477748279,2.113427569435511,0.9874260913083326,0.1059835341098353,0.9874260913083326,2.2114246131811544,0.6057123065905772,0.1059835341098353,0.6057123065905772,0.35
7.148085532,-9.328288494,4.593108929,-2.5554556360214247,-0.6706736095349078,0.3783508265466517,0.5608109551786378,2.2375603811224876,-7.858366202196489,14.151812708170619,-30.561710191563893,41.10768140767043,-39.78863102743824,-19.357253610919535,-4.694802203458752,7.368649080935569,-3.6210332699796624,1.4010014968022562,8.28706172874641,4.283168406679421,1.293426085371534,4.283168406679421,2.6292750846124315,0.8146375423062159,1.293426085371534,0.8146375423062159,0.35
-6.486887588,7.263578447,0.829224405,-2.040500542866933,-1.0220561416069653,-1.598857006864535,-1.4501015470145395,-3.107044215679081,-1.4608304127159195,-19.62690129431196,35.27383781289083,-4.816510052377227,-26.01955759832102,-14.918989461434334,-0.24992552220092873,40.09303624234999,4.50705007485349,-10.902739197574794,4.719300029752606,2.020621516021415,-0.09776917223435522,2.020621516021415,1.671943002290224,0.33597150114511204,-0.09776917223435522,0.33597150114511204,0.35
-4.005762189,-1.546255576,-9.433606577,-2.9472334451673587,-1.7958071802159536,-6.522523620312848,-7.53291984140938,7.721816255009158,-5.29877571658347,10.466907055805889,89.65989881813005,-190.56246901437228,-22.303995718436585,1.7592385585418846,1.3082702260072956,-93.52393340879699,-105.2491424930975,-25.372403790360046,3.9043032434530263,2.112899145179734,0.6118270346807522,2.112899145179734,2.6714950469064416,0.8357475234532208,0.6118270346807522,0.8357475234532208,0.35
-7.51433447,3.412488294,2.943790231,-2.5562949101063204,0.11685674983728744,-1.9304025076111604,0.6919512434756286,-8.300164081577996,-0.36556050822623776,3.6847648250144776,-10.130782417796222,95.59386654476688,-33.32449136114465,-12.8817356086735,-1.6475327993217597,23.252429665146565,2.5172591171941843,-27.323540676020432,6.437262065319154,2.7176782167377147,0.05386100840765218,2.7176782167377147,1.3480943681562751,0.17404718407813757,0.05386100840765218,0.17404718407813757,0.35
2.30770223,-2.326448915,9.944198716,-2.839247033126049,-1.5018731995404784,21.582856844800638,5.748425085787436,-24.505173191178727,10.497524247089064,-194.73002936030971,228.07711712612257,-125.00873165007667,-28.93269200098779,-5.520129240150356,-0.18155624650506386,516.7400484668377,22.431676857375525,85.42264746253343,3.671697071277892,1.051948327365188,0.05754567838013114,1.051948327365188,0.7821995834524835,-0.10890020827375824,0.05754567838013114,-0.10890020827375824,0.35
9.616706776,3.71083969,3.009185525,-1.9427306418186467,0.2444328903858431,-0.07182528325286452,-1.207465830777717,2.9323009235053377,-14.158261255671045,44.637921635392296,-109.96911977691957,106.86844882762325,-11.755170972757814,-2.842340374926219,-0.9712361792061333,-8.260856063590055,6.094678489441808,0.018454515316746745,8.943386103533081,4.645403888299974,1.3412809642898083,4.645403888299974,2.697421673066867,0.8487108365334335,1.3412809642898083,0.8487108365334335,0.35
