tau1,tau2,tau3,q1,q2,q3,dq1,dq2,dq3,ddq1,ddq2,ddq3,G1,G2,G3,Cqdot1,Cqdot2,Cqdot3,M1,M2,M3,M4,M5,M6,M7,M8,M9
2.739233746,-4.604265725,-9.180529521,-2.904637431355251,0.8331516805661772,-3.1416877901004057,-0.9541197844078506,-3.6231133150256642,0.024447525101400913,28.206675114354486,-57.75405192928451,-4.8895050202446555,-28.548392763468737,-4.708689371079613,2.354958716776449,-14.91444353833744,0.6737445110039051,-0.3358266535010275,4.3456479776714865,1.3395948244318157,-0.5027668767403607,1.3395948244318157,0.667083337858811,-0.1664583310705945,-0.5027668767403607,-0.1664583310705945,0.3335416666666666
-9.669447289,6.265404784,8.255111546,-3.141590264704806,0.3698127030550601,3.141594849518734,-1.691928514995205e-05,-1.8771942859440023,-0.0012123796834906386,0.0021510021480418764,23.322400408734676,0.2424759366626006,-33.67179094870334,-9.146790948773319,4.573389634698737,-1.2728626830232344,5.102776867715875e-09,-3.869192785721509e-06,4.865415911139377,1.5994787889042277,-0.6326554658409429,1.5994787889042277,0.6670833333357442,-0.16645833333212784,-0.6326554658409429,-0.16645833333212784,0.3335416666666666
2.132715515,4.58993122,0.872499829,-1.7378230255134859,-0.11854347726129963,-1.348813023749549,0.25797454822799515,-5.076270391001315,-0.6297570535457985,-9.392949293029751,11.71067952748217,51.59944439438835,-13.117679913227452,-9.040370089029526,-4.895087170983025,21.98823548560796,3.1084286105836325,-11.356256488666943,7.302990991969168,3.428348675814522,0.4952517432863542,3.428348675814522,1.8872480263265432,0.44362401316327155,0.4952517432863542,0.44362401316327155,0.3335416666666666
8.701448476,6.317071082,-9.945229997,-1.7111570496200315,-1.322883541609983,-3.141590000000001,0.7918015228778063,-4.029438222982826,3.552713678800501e-13,-4.755678526091711,31.86773226758355,-8.881784197001252e-11,-13.184372580711578,-9.753317746034643,4.876656777213947,9.554034599789482,-0.6077819334748753,0.303876752710746,3.491384614460681,0.9124631405654343,-0.28915016629080376,0.9124631405654343,0.667083333336854,-0.166458333331573,-0.28915016629080376,-0.166458333331573,0.3335416666666666
7.148085532,-9.328288494,4.593108929,-2.344940583754662,-1.0432138251819816,0.9390003184928326,0.7233157791393923,1.5383312234810051,-5.869464677073393,11.036356328639974,-13.942094706486108,8.132317939201883,-35.19085267416605,-18.045315832056865,-3.7753367451135187,3.4129876284841885,-3.893330811011502,2.0366277472077505,7.096132810260363,3.510134754008213,1.1261265248587335,3.510134754008213,2.2576783644227305,0.6288391822113653,1.1261265248587335,0.6288391822113653,0.3335416666666666
-6.486887588,7.263578447,0.829224405,-1.907209130856128,-0.8349870604625228,-1.1945168568484104,-0.4650556750442826,-2.4583518402786217,-1.6257077914767928,-21.144774615944716,46.03495027760784,-26.369176538094674,-25.087122420245784,-16.991343695641866,-3.434475190807598,24.092172930718924,5.311671965399505,-4.07115783187208,5.938859939635589,2.8199321958993613,0.2958782245279874,2.8199321958993613,2.0345461188298,0.5172730594149,0.2958782245279874,0.5172730594149,0.3335416666666666
-4.005762189,-1.546255576,-9.433606577,-3.122079353760074,0.7897663413996119,-3.1415900000000008,-4.119562231993732,4.911765435602694,1.77639153386977e-13,19.426189925855653,-49.45162385070123,-3.469446951953614e-15,-31.289436596817602,-6.769105626934377,3.3845386823217334,11.606747243610045,12.052451141771968,-6.026250181612976,4.408649437732633,1.3710955522014103,-0.5184630293496924,1.3710955522014103,0.667083333336854,-0.166458333331573,-0.5184630293496924,-0.166458333331573,0.3335416666666666
-7.51433447,3.412488294,2.943790231,-2.44551804432167,0.2772917143093594,-1.646041555280707,1.0324858721425638,-7.055011263132296,-0.6146652101905103,7.187827100918254,-21.969859650725176,88.6351962412204,-30.933586335717976,-12.113957397333847,-3.8364829378046275,10.479594645666797,3.7953036355668353,-18.606261288575638,7.01152645020671,3.1349469363760885,0.3962918474705431,3.1349469363760885,1.5919090892121335,0.2959545446060666,0.3962918474705431,0.2959545446060666,0.3335416666666666
2.30770223,-2.326448915,9.944198716,-2.127021144256646,-0.9979488854417201,3.1415900000000008,-0.4693980341159896,-5.715035580340933,-1.7763568394002505e-13,-10.959099849354613,32.67965013897811,0.0,-22.75744910421965,-9.808644506355723,4.904322577673582,31.956283192953535,-0.185160373016366,0.09263117040609625,4.084681472979952,1.2091115698250694,-0.43747077909423354,1.2091115698250694,0.667083333336854,-0.166458333331573,-0.43747077909423354,-0.166458333331573,0.3335416666666666
9.616706776,3.71083969,3.009185525,-1.8839659168576284,0.18447227900965893,0.23687329895639858,-1.9488105572845946,4.727743873464454,-14.627642325934506,32.77184908610331,-48.98289922582855,0.7182945994106404,-8.914542747800757,-1.358988509310744,0.5295689689234399,-44.57892998567572,-13.744803937460292,1.6827358561159405,8.834340449667293,4.5699792835014845,1.2758496121944818,4.5699792835014845,2.6391597840023433,0.8195798920011717,1.2758496121944818,0.8195798920011717,0.3335416666666666
